movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
521607,Универсальный солдат 4,4.507,113,5554.0,2012,5.0,15639.0,"[ужасы, фантастика, боевик, триллер, детектив]",[США],$11 500 000,51.0,Universal Soldier: Day of Reckoning
521611,"Ну что, приехали? (сериал 2010 – 2012)",6.315,22,130.0,2010,5.5,1208.0,[комедия],[США],,,Are We There Yet?
521613,Президент – горничная! (сериал),8.104,25,5769.0,2010,8.2,940.0,"[аниме, мультфильм, мелодрама, комедия]",[Япония],,,Kaichou wa meido-sama!
521615,Остров отчаянных героев (сериал 2007 – 2012),7.442,22,549.0,2007,7.3,3311.0,"[мультфильм, комедия]","[Канада, США, Франция]",$6 500 000,,Total Drama Island
521618,Маленькие секреты,7.508,154,4558.0,2010,7.1,16646.0,"[драма, комедия]",[Франция],$25 000 000,41.0,Les petits mouchoirs
521621,Двое против Фантомаса: Де Фюнес – Кенигсон (ТВ),7.601,45,128.0,2010,,,"[документальный, биография]",[Россия],,,
521624,Достоинство Бергера (сериал 2010 – 2011),7.026,21,1003.0,2010,7.5,4957.0,[комедия],[США],,,The Hard Times of RJ Berger
521628,Круче не придумаешь (сериал 2004 – 2012),7.623,45,147.0,2004,7.4,361.0,,[Великобритания],,,The Gadget Show
521629,Лапочка 2: Город танца (видео),6.341,107,3581.0,2011,5.3,4664.0,"[драма, комедия, музыка]",[США],,10.0,Honey 2
521633,Залезь на Луну,4.068,84,241.0,2010,,,"[драма, криминал]",[Россия],,,
521637,"All inclusive, или Всё включено",5.108,93,12909.0,2011,4.7,278.0,[комедия],[Россия],,,
521647,Упражнения в прекрасном,7.195,93,4045.0,2011,7.1,207.0,[комедия],[Россия],,,
521668,Я счастливая (ТВ),6.414,90,437.0,2010,,,[мелодрама],[Россия],,,
521671,Братаны 3 (сериал),5.896,45,568.0,2012,,,"[боевик, криминал]",[Россия],,,
521679,Перед экзаменом (ТВ),7.459,64,176.0,1977,,,[драма],[СССР],,,
521680,Бульдог-шоу (сериал),3.436,40,1935.0,2010,,,"[ток-шоу, комедия]",[Россия],,,
521689,Метро,7.24,132,78090.0,2012,6.6,4396.0,"[триллер, драма]",[Россия],$9 000 000,,
52169,Коля,7.908,105,1323.0,1996,7.8,11942.0,"[драма, комедия, музыка]","[Чехия, Великобритания, Франция]",,96.0,Kolja
521695,Операция «Горгона» (мини-сериал),5.367,45,312.0,2011,,,"[боевик, драма, военный]",[Россия],,,
521698,Воробей,6.332,90,153.0,2010,7.2,12.0,[драма],[Россия],,,
